,Unnamed: 0,ResponseId,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson
LISP,0.0118,0.0118,0.1706,0.0005,0.7881,0.466,0.0089,0.1799,0.1374,0.0,0.0,0.0,0.0,0.0,0.9642,0.0,0.9121,0.0019,0.0009,0.09,0.2296,0.0001,0.0,0.0206,0.0556,0.0,0.0,0.2435,0.0,0.0,0.3454,0.1077,0.5658,0.0,0.0,0.0,0.0,0.0,0.0,0.3802,0.104,0.0,0.0,0.1328,0.0161,0.5896,0.0018,0.2128,0.0477,0.0005,0.6162,0.4803,0.7437,0.0169,0.3563,0.3248,0.3637,0.0431,0.0001,0.2277,0.5795,0.0515,0.2314,0.5551,0.0689,0.0098,0.6062,0.0109,0.948,0.0002,0.0008,0.9667,0.1573,0.0039,0.9833,0.1683,0.0768,0.0,0.004,0.0486
F#,0.0206,0.0206,0.0001,0.0012,0.6252,0.1854,0.1522,0.1598,0.0509,0.7591,0.0019,0.1403,0.2111,0.0001,0.0,0.3947,0.0048,0.0,0.4335,0.0232,0.0,0.3089,0.1806,0.1595,0.7486,0.0,0.0,0.0128,0.0053,0.1198,0.1423,0.0,0.3952,0.0,0.0,0.0,0.0,0.0003,0.0,0.0217,0.0,0.0002,0.0,0.0092,0.899,0.6032,0.0,0.729,0.3907,0.7059,0.9071,0.2672,0.6202,0.002,0.239,0.0604,0.9427,0.0,0.8407,0.0607,0.4251,0.1011,0.0002,0.0,0.2466,0.4163,0.3025,0.0,0.203,0.0001,0.0,0.2816,0.5847,0.8692,0.0,0.8269,0.3304,0.2838,0.466,0.8298
Elixir,0.2599,0.2599,0.0,0.0318,0.3887,0.0,0.0049,0.9821,0.0,0.239,0.0023,0.4885,0.0538,0.0,0.0443,0.0192,0.439,0.0,0.0041,0.0009,0.0004,0.0,0.1908,0.1493,0.0127,0.0106,0.0,0.5013,0.0,0.0195,0.1068,0.002,0.8217,0.0012,0.0238,0.0,0.0003,0.0,0.0,0.0,0.4937,0.0,0.0333,0.0,0.0,0.1949,0.0,0.0098,0.372,0.0,0.2805,0.005,0.2597,0.0002,0.2537,0.1204,0.7646,0.0287,0.0251,0.0221,0.0088,0.0001,0.0,0.4024,0.0,0.4135,0.5354,0.0,0.1012,0.0,0.0,0.0255,0.6133,0.0,0.3644,0.0,0.0,0.0,0.4578,0.1198
Erlang,0.2263,0.2263,0.0,0.1601,0.4376,0.1173,0.0332,0.3191,0.004,0.936,0.0,0.0,0.2779,0.0,0.2339,0.0053,0.5704,0.0711,0.9463,0.0408,0.4156,0.0,0.0094,0.8492,0.0061,0.0003,0.0,0.9817,0.0,0.0006,0.5138,0.3943,0.114,0.0,0.2039,0.0,0.0,0.0,0.0,0.0,0.0147,0.0,0.001,0.0004,0.0,0.1803,0.049,0.5796,0.0125,0.0002,0.3855,0.0007,0.8368,0.0,0.818,0.6153,0.0035,0.3403,0.1568,0.0204,0.7444,0.0024,0.0002,0.7709,0.0,0.3066,0.3332,0.0558,0.2253,0.0,0.1075,0.2185,0.2469,0.0,0.647,0.0,0.0001,0.0,0.0327,0.0206
Crystal,0.4333,0.4333,0.7511,0.4843,0.0127,0.251,0.184,0.1299,0.0151,0.2958,0.0699,0.0241,0.0841,0.004,0.8872,0.0105,0.0267,0.6464,0.2945,0.6628,0.5768,0.0,0.3629,0.336,0.9482,0.1438,0.9176,0.084,0.0001,0.465,0.1487,0.0001,0.9809,0.9581,0.0,0.3802,0.0217,0.0,0.0,0.0,0.0,0.0,0.0046,0.0027,0.0,0.025,0.3273,0.004,0.2965,0.0592,0.1469,0.0,0.307,0.7027,0.0416,0.1295,0.0018,0.2704,0.5634,0.6004,0.0725,0.7641,0.5834,0.0204,0.0,0.4492,0.007,0.4995,0.175,0.0001,0.0215,0.0857,0.0356,0.0,0.5224,0.0124,0.0,0.0,0.0,0.0217
COBOL,0.0221,0.0221,0.0735,0.0,0.008,0.0097,0.0162,0.0026,0.0009,0.9112,0.0,0.0,0.0,0.8046,0.9747,0.1433,0.0121,0.0003,0.0,0.2886,0.0002,0.6462,0.0,0.0001,0.3487,0.4262,0.1085,0.0,0.0726,0.0122,0.8541,0.0,0.002,0.7984,0.0118,0.104,0.0,0.4937,0.0147,0.0,0.0,0.2629,0.0,0.0216,0.4306,0.0001,0.0,0.0,0.0,0.0002,0.2168,0.0,0.0709,0.0,0.0,0.0064,0.0017,0.022,0.0,0.0843,0.0002,0.0307,0.0305,0.0,0.0385,0.033,0.0432,0.0018,0.0001,0.0183,0.0,0.6658,0.0,0.294,0.0003,0.2619,0.0012,0.2712,0.0,0.0007
PostgreSQL,0.7518,0.7518,0.0,0.0,0.0,0.0,0.6713,0.8344,0.0721,0.0,0.3787,0.034,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0037,0.0082,0.8972,0.0,0.0001,0.0,0.0,0.1947,0.0,0.0,0.0,0.7536,0.0,0.0002,0.0,0.0,0.0,0.2629,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.0,0.0,0.0,0.2044,0.001,0.0,0.4559,0.0489,0.2019,0.8324,0.0,0.0,0.3702,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5595,0.0,0.0,0.0,0.0,0.0,0.2492,0.0809
SQLite,0.0109,0.0109,0.2951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711,0.0,0.0,0.0271,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0008,0.0,0.0001,0.0,0.0231,0.0,0.0,0.0121,0.3923,0.8114,0.0,0.0,0.0333,0.001,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.1778,0.0,0.0,0.0379,0.0212,0.0,0.0,0.0628,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0085,0.2434,0.0036,0.2111,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0004
Elasticsearch,0.4271,0.4271,0.0,0.0,0.0,0.0,0.1922,0.0,0.3782,0.0,0.1919,0.1656,0.5436,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0005,0.0,0.0,0.016,0.0,0.5893,0.0988,0.1764,0.0,0.0,0.3894,0.0071,0.0,0.0,0.6801,0.1328,0.0092,0.0,0.0004,0.0027,0.0216,0.0,0.0,0.0,0.0,0.0,0.5238,0.0415,0.0,0.0,0.0,0.0,0.0016,0.0,0.6225,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3104,0.0,0.0,0.099,0.0037,0.0,0.0,0.0616,0.0,0.0,0.0,0.3848,0.0001
Redis,0.3671,0.3671,0.0,0.0,0.0,0.0,0.0301,0.0,0.0151,0.0,0.0833,0.0087,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.4788,0.0,0.1872,0.0005,0.0016,0.5951,0.0346,0.0298,0.0,0.0,0.0008,0.0,0.0,0.0745,0.2444,0.0161,0.899,0.0,0.0,0.0,0.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0005,0.0,0.0407,0.0,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6876,0.0,0.0,0.0082,0.0,0.003,0.0,0.0104,0.0,0.0,0.0,0.811,0.0004
MySQL,0.0845,0.0845,0.0,0.9323,0.0,0.0,0.0,0.0,0.0017,0.0,0.0065,0.0436,0.0,0.1456,0.0,0.0,0.0,0.0008,0.0,0.0,0.0214,0.0,0.0,0.528,0.0,0.3188,0.793,0.0924,0.0,0.0,0.0381,0.0001,0.0053,0.002,0.3774,0.5896,0.6032,0.1949,0.1803,0.025,0.0001,0.0,0.0,0.0,0.0,0.0,0.5073,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1349,0.0182,0.0,0.0,0.1241,0.0,0.0,0.0,0.4784,0.0,0.0,0.0,0.0086,0.0104
Microsoft SQL Server,0.5352,0.5352,0.0,0.0,0.0,0.0,0.1209,0.8578,0.0032,0.0,0.0011,0.0,0.1052,0.0,0.0,0.0,0.0,0.0,0.0,0.1556,0.0,0.0,0.0558,0.0438,0.0,0.0004,0.0007,0.0,0.0,0.0004,0.648,0.0,0.6025,0.0,0.5036,0.0018,0.0,0.0,0.049,0.3273,0.0,0.0,0.0023,0.5238,0.0,0.5073,0.0,0.0,0.9699,0.236,0.0,0.0383,0.1745,0.5925,0.0,0.2972,0.8179,0.0,0.0,0.0517,0.0,0.0004,0.0,0.0,0.0,0.0,0.0001,0.0,0.006,0.1529,0.0,0.0001,0.0449,0.0,0.0,0.0,0.0,0.0,0.3727,0.9645
Oracle,0.5324,0.5324,0.0,0.1125,0.0,0.0225,0.1107,0.2078,0.6921,0.8181,0.0257,0.2335,0.0,0.0002,0.0407,0.0001,0.0,0.0001,0.0,0.3974,0.0,0.0,0.0,0.0633,0.5963,0.4217,0.6053,0.0,0.0047,0.0065,0.1336,0.0,0.0,0.4171,0.7206,0.2128,0.729,0.0098,0.5796,0.004,0.0,0.0219,0.0,0.0415,0.0,0.0,0.0,0.0,0.0709,0.0,0.589,0.0102,0.0041,0.0,0.0,0.3921,0.7748,0.0,0.1767,0.5115,0.0,0.0074,0.0,0.0,0.0,0.0946,0.8586,0.002,0.0,0.9667,0.0,0.0066,0.0,0.0053,0.0,0.1703,0.0287,0.0046,0.0,0.0037
MongoDB,0.2537,0.2537,0.5832,0.1819,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.162,0.3581,0.004,0.0,0.0,0.1577,0.5477,0.0,0.0,0.0038,0.0223,0.3242,0.0097,0.0,0.6611,0.0203,0.6659,0.0,0.0002,0.0,0.8471,0.0001,0.7816,0.002,0.0477,0.3907,0.372,0.0125,0.2965,0.0,0.0,0.0,0.0,0.0,0.0,0.9699,0.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0206,0.0,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,0.1423,0.0,0.0,0.9644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.0002
MariaDB,0.6827,0.6827,0.0037,0.0022,0.0,0.0,0.0008,0.0,0.1677,0.0,0.0,0.0,0.0638,0.0008,0.243,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.3362,0.4037,0.3531,0.0,0.0022,0.0,0.5048,0.1238,0.296,0.2729,0.413,0.0514,0.0005,0.7059,0.0,0.0002,0.0592,0.0002,0.0,0.0,0.0,0.0,0.0,0.236,0.0,0.0,0.0,0.0002,0.0,0.0005,0.0,0.0141,0.0,0.0,0.0966,0.0,0.0,0.0,0.0,0.011,0.0008,0.0008,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6887,0.0,0.0,0.0,0.0001,0.0058
DynamoDB,0.5269,0.5269,0.0,0.0002,0.1144,0.0,0.1837,0.5458,0.0037,0.0,0.2908,0.0011,0.0788,0.0543,0.0,0.0,0.139,0.0,0.0,0.0,0.876,0.0,0.9433,0.0296,0.0,0.6872,0.3461,0.1403,0.0,0.0,0.1858,0.0185,0.0,0.0,0.3027,0.6162,0.9071,0.2805,0.3855,0.1469,0.2168,0.0,0.1778,0.0,0.0,0.0,0.0,0.589,0.0,0.0002,0.0,0.0,0.0,0.0,0.9816,0.2467,0.1728,0.0026,0.0,0.0,0.9365,0.0,0.0,0.0004,0.0036,0.0002,0.0,0.0017,0.0,0.0,0.0,0.0,0.0116,0.0067,0.0002,0.0,0.0,0.0021,0.0478,0.1957
Couchbase,0.6038,0.6038,0.0093,0.3333,0.1781,0.0022,0.0325,0.0377,0.0006,0.2226,0.0619,0.0084,0.144,0.0255,0.0012,0.0146,0.0409,0.2616,0.0,0.0,0.8171,0.3588,0.0031,0.0066,0.0965,0.1614,0.1633,0.0081,0.0,0.005,0.023,0.3339,0.0012,0.5363,0.2876,0.4803,0.2672,0.005,0.0007,0.0,0.0,0.2044,0.0,0.0,0.0006,0.0,0.0383,0.0102,0.0,0.0,0.0,0.0,0.0046,0.0,0.0016,0.0492,0.0914,0.0004,0.0012,0.0054,0.0196,0.0023,0.0003,0.0154,0.5571,0.0821,0.0,0.054,0.0009,0.0005,0.0009,0.2071,0.0,0.0314,0.0,0.0002,0.0,0.0,0.0,0.0
Firebase,0.1331,0.1331,0.0256,0.4667,0.0,0.0,0.0,0.0,0.0,0.7763,0.4165,0.4288,0.9101,0.0811,0.0,0.7675,0.7059,0.519,0.0,0.0,0.5914,0.0784,0.2227,0.0311,0.0,0.7567,0.3774,0.6688,0.0546,0.1758,0.0,0.9882,0.5985,0.4208,0.9129,0.7437,0.6202,0.2597,0.8368,0.307,0.0709,0.001,0.0,0.0016,0.0005,0.0,0.1745,0.0041,0.0,0.0005,0.0,0.0046,0.0,0.4513,0.2327,0.0,0.8818,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0164,0.0007,0.6711,0.2183,0.0728,0.0,0.5977,0.0,0.0019,0.0,0.0046,0.0,0.0,0.0,0.351,0.0004
Cassandra,0.2747,0.2747,0.0,0.6634,0.1132,0.6707,0.6658,0.8241,0.6803,0.006,0.1946,0.0619,0.3273,0.0,0.8195,0.0,0.2615,0.0134,0.0,0.0279,0.5831,0.4162,0.0006,0.4604,0.0004,0.3116,0.0189,0.0056,0.0,0.0,0.7723,0.9433,0.0,0.0,0.0,0.0169,0.002,0.0002,0.0,0.7027,0.0,0.0,0.0379,0.0,0.0,0.0013,0.5925,0.0,0.0,0.0,0.0,0.0,0.4513,0.0,0.0653,0.8695,0.1034,0.3546,0.0,0.6888,0.8439,0.1327,0.016,0.0231,0.1309,0.0967,0.0,0.0071,0.0,0.2276,0.0053,0.427,0.0165,0.3451,0.0013,0.0,0.0,0.0055,0.4761,0.0586
IBM DB2,0.6924,0.6924,0.0002,0.5117,0.0241,0.5168,0.9291,0.0546,0.7172,0.5526,0.1336,0.4518,0.0163,0.0073,0.7753,0.3957,0.0,0.0157,0.0,0.928,0.0,0.0055,0.1468,0.9996,0.3806,0.7816,0.676,0.0001,0.5727,0.0173,0.8564,0.0,0.0021,0.4151,0.0042,0.3563,0.239,0.2537,0.818,0.0416,0.0,0.4559,0.0212,0.6225,0.0407,0.0121,0.0,0.0,0.0206,0.0141,0.9816,0.0016,0.2327,0.0653,0.0,0.0148,0.7006,0.0001,0.8917,0.357,0.0002,0.3257,0.9768,0.0014,0.0323,0.5717,0.0537,0.0127,0.0,0.1218,0.0001,0.6596,0.0071,0.4245,0.0,0.0069,0.5034,0.3609,0.0006,0.0
Laravel,0.8253,0.8253,0.0,0.0907,0.0,0.0,0.0,0.0,0.0,0.4593,0.1233,0.0998,0.0487,0.2936,0.0054,0.3498,0.0,0.0041,0.5454,0.0,0.2042,0.9981,0.0035,0.2899,0.8702,0.495,0.8415,0.0232,0.0217,0.0389,0.0,0.5178,0.0282,0.3438,0.4251,0.3248,0.0604,0.1204,0.6153,0.1295,0.0064,0.0489,0.0,0.0002,0.0,0.0,0.2972,0.3921,0.0,0.0,0.2467,0.0492,0.0,0.8695,0.0148,0.0,0.0,0.0002,0.6318,0.0,0.0,0.0,0.0001,0.0,0.7987,0.0004,0.4077,0.0003,0.4099,0.0,0.0755,0.0,0.0,0.0,0.1732,0.0,0.0001,0.0,0.1954,0.194
Symfony,0.7565,0.7565,0.0002,0.9488,0.0,0.0,0.0001,0.0,0.0503,0.7992,0.0223,0.0517,0.143,0.7444,0.1986,0.0,0.0,0.4443,0.5094,0.0,0.0078,0.3516,0.0,0.5312,0.481,0.2748,0.0896,0.024,0.2295,0.243,0.0,0.0391,0.8762,0.4662,0.0156,0.3637,0.9427,0.7646,0.0035,0.0018,0.0017,0.2019,0.0,0.0,0.0,0.0,0.8179,0.7748,0.0185,0.0,0.1728,0.0914,0.8818,0.1034,0.7006,0.0,0.0,0.3991,0.4662,0.0,0.0,0.1883,0.0162,0.0005,0.6254,0.0036,0.0151,0.1294,0.4645,0.2368,0.8801,0.0,0.0,0.019,0.7311,0.0,0.0512,0.0,0.1444,0.0026
Angular,0.0753,0.0753,0.0057,0.0004,0.0,0.0,0.9867,0.0004,0.0278,0.0,0.0577,0.0,0.0063,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445,0.0236,0.0002,0.0187,0.2202,0.0144,0.0343,0.3123,0.0,0.0314,0.0029,0.0001,0.6997,0.0431,0.0,0.0287,0.3403,0.2704,0.022,0.8324,0.0628,0.0002,0.0199,0.0,0.0,0.0,0.0,0.0966,0.0026,0.0004,0.0,0.3546,0.0001,0.0002,0.3991,0.0,0.0335,0.0,0.0,0.0,0.0096,0.0,0.0001,0.7097,0.7422,0.0,0.0,0.0001,0.0,0.0117,0.0081,0.1006,0.0,0.0002,0.0,0.7075,0.8167,0.0173
Flask,0.7631,0.7631,0.061,0.0,0.0018,0.0007,0.6483,0.3121,0.7709,0.0,0.0,0.0,0.0,0.0,0.3409,0.0,0.0,0.0,0.0142,0.0,0.4082,0.4096,0.0011,0.0001,0.9536,0.3019,0.0,0.2277,0.0,0.0015,0.9409,0.0809,0.0005,0.5952,0.3266,0.0001,0.8407,0.0251,0.1568,0.5634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767,0.0,0.0,0.0,0.0012,0.0002,0.0,0.8917,0.6318,0.4662,0.0335,0.0,0.0034,0.0895,0.0,0.0,0.4007,0.8815,0.0,0.0,0.0,0.0297,0.0,0.0,0.0,0.2735,0.0,0.8943,0.0,0.0,0.0,0.0262,0.0
Vue.js,0.0596,0.0596,0.0,0.0001,0.0,0.0,0.0351,0.0,0.0149,0.3358,0.3687,0.016,0.0005,0.6765,0.0,0.2943,0.0,0.1845,0.2665,0.0,0.0061,0.0,0.3743,0.0097,0.0962,0.2065,0.7035,0.1887,0.0,0.6059,0.0014,0.6368,0.0488,0.0018,0.9177,0.2277,0.0607,0.0221,0.0204,0.6004,0.0843,0.0,0.0,0.0,0.0,0.0,0.0517,0.5115,0.0,0.0,0.0,0.0054,0.0,0.6888,0.357,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.4336,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1921,0.0162
jQuery,0.4379,0.4379,0.0,0.0,0.0,0.0,0.1825,0.0,0.6694,0.0,0.6224,0.0203,0.0121,0.0,0.0,0.7359,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.3461,0.0,0.0044,0.5196,0.0113,0.0004,0.0276,0.0641,0.0,0.2723,0.0,0.9864,0.5795,0.4251,0.0088,0.7444,0.0725,0.0002,0.3702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9365,0.0196,0.0,0.8439,0.0002,0.0,0.0,0.0,0.0895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7791,0.0,0.0004,0.0197,0.0,0.0002,0.0,0.0,0.0,0.0205,0.0,0.0,0.0767,0.002
Express,0.2011,0.2011,0.3709,0.0016,0.0,0.0,0.0,0.0,0.0,0.0253,0.2912,0.1197,0.0003,0.0327,0.0,0.0,0.0006,0.0008,0.0,0.0,0.4334,0.0014,0.1788,0.2265,0.0019,0.0762,0.3273,0.3678,0.0,0.8393,0.0,0.0543,0.1527,0.0055,0.7481,0.0515,0.1011,0.0001,0.0024,0.7641,0.0307,0.0,0.0,0.0,0.0,0.0,0.0004,0.0074,0.0,0.0,0.0,0.0023,0.0,0.1327,0.3257,0.0,0.1883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0001,0.0275,0.0978,0.0,0.0,0.0021,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.8542,0.0001
React.js,0.052,0.052,0.0206,0.0,0.0,0.0,0.1417,0.0,0.0002,0.0686,0.0022,0.0,0.0,0.0029,0.0,0.0012,0.0006,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0003,0.0422,0.0034,0.0117,0.0,0.0516,0.0016,0.0,0.1214,0.0,0.7663,0.2314,0.0002,0.0,0.0002,0.5834,0.0305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0003,0.0,0.016,0.9768,0.0001,0.0162,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1791,0.0,0.0,0.0,0.0,0.0,0.0,0.1046,0.0,0.0,0.0,0.3321,0.1373
Angular.js,0.9149,0.9149,0.2148,0.9672,0.0,0.0,0.0012,0.0,0.0249,0.0014,0.5222,0.0488,0.2015,0.1029,0.0,0.5696,0.0,0.0,0.0,0.0,0.0,0.0791,0.0033,0.9198,0.2456,0.115,0.7209,0.012,0.6812,0.675,0.3555,0.0015,0.0012,0.0086,0.3385,0.5551,0.0,0.4024,0.7709,0.0204,0.0,0.09,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0004,0.0154,0.0,0.0231,0.0014,0.0,0.0005,0.0,0.4007,0.0,0.0,0.0,0.0,0.0,0.0069,0.1367,0.984,0.0,0.0,0.0045,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0921,0.1255,0.0
Ruby on Rails,0.06,0.06,0.0,0.0,0.0,0.0,0.1301,0.2946,0.1583,0.0,0.2641,0.0001,0.318,0.3259,0.0474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2215,0.0008,0.2115,0.1964,0.6637,0.1294,0.0,0.5837,0.2212,0.0,0.1101,0.9409,0.1966,0.0689,0.2466,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0008,0.0036,0.5571,0.0164,0.1309,0.0323,0.7987,0.6254,0.0001,0.8815,0.0,0.0,0.0005,0.0,0.0069,0.0,0.0987,0.193,0.0,0.2722,0.0216,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.494,0.0028
Django,0.4405,0.4405,0.0023,0.1875,0.0,0.0,0.322,0.0007,0.0642,0.0,0.0923,0.004,0.0007,0.0094,0.9019,0.0,0.0,0.0,0.7192,0.0,0.4503,0.1379,0.0119,0.0,0.2508,0.477,0.0002,0.5378,0.0,0.5473,0.0727,0.5405,0.7886,0.8497,0.0738,0.0098,0.4163,0.4135,0.3066,0.4492,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0946,0.0,0.0,0.0002,0.0821,0.0007,0.0967,0.5717,0.0004,0.0036,0.7097,0.0,0.0002,0.0,0.0001,0.0,0.1367,0.0987,0.0,0.0,0.0,0.6394,0.0913,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0,0.0729,0.0
FastAPI,0.4952,0.4952,0.0785,0.7002,0.5384,0.023,0.3933,0.5998,0.7739,0.0,0.0473,0.0227,0.0008,0.0,0.2098,0.0,0.2338,0.0,0.8497,0.1113,0.2181,0.0143,0.8924,0.002,0.4076,0.0001,0.0,0.2607,0.0,0.0038,0.019,0.6247,0.2243,0.8304,0.0065,0.6062,0.3025,0.5354,0.3332,0.007,0.0432,0.0,0.0,0.0,0.0,0.1349,0.0001,0.8586,0.0,0.0007,0.0,0.0,0.6711,0.0,0.0537,0.4077,0.0151,0.7422,0.0,0.0,0.7791,0.0275,0.0,0.984,0.193,0.0,0.0,0.0,0.3251,0.0,0.0,0.0001,0.2534,0.0,0.0302,0.0,0.0,0.0,0.8699,0.0
ASP.NET Core ,0.8838,0.8838,0.0,0.0,0.0,0.0,0.9424,0.0084,0.1449,0.0,0.0229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0001,0.0006,0.0,0.0002,0.0163,0.1772,0.0,0.0,0.0054,0.0,0.0002,0.0,0.5321,0.0109,0.0,0.0,0.0558,0.4995,0.0018,0.0,0.0085,0.3104,0.6876,0.0182,0.0,0.002,0.1423,0.0,0.0017,0.054,0.2183,0.0071,0.0127,0.0003,0.1294,0.0,0.0,0.0,0.0,0.0978,0.1791,0.0,0.0,0.0,0.0,0.0,0.0,0.5969,0.0,0.0147,0.816,0.0,0.0,0.0,0.0,0.0,0.6909,0.7396
Spring,0.2811,0.2811,0.0012,0.0,0.0096,0.0,0.0578,0.4616,0.1114,0.8269,0.2684,0.0681,0.9566,0.8629,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.3109,0.0038,0.3431,0.0,0.1468,0.8789,0.9571,0.0017,0.0,0.5854,0.1178,0.0,0.6767,0.8752,0.948,0.203,0.1012,0.2253,0.175,0.0001,0.0,0.2434,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0009,0.0728,0.0,0.0,0.4099,0.4645,0.0,0.0297,0.4336,0.0004,0.0,0.0,0.0,0.2722,0.6394,0.3251,0.0,0.0,0.4918,0.0,0.0755,0.0038,0.283,0.0426,0.0,0.0093,0.1899,0.0197,0.1442
Svelte,0.8285,0.8285,0.2308,0.9633,0.0,0.0,0.072,0.0023,0.0002,0.4924,0.1368,0.0251,0.8724,0.0,0.0,0.0043,0.1125,0.8958,0.0346,0.0,0.8333,0.0078,0.9913,0.2548,0.0,0.0726,0.0118,0.1403,0.0,0.018,0.0,0.9133,0.5916,0.1463,0.0721,0.0002,0.0001,0.0,0.0,0.0001,0.0183,0.0,0.0036,0.0,0.0,0.0,0.1529,0.9667,0.0,0.0,0.0,0.0005,0.0,0.2276,0.1218,0.0,0.2368,0.0001,0.0,0.0,0.0197,0.0,0.0,0.0045,0.0216,0.0913,0.0,0.5969,0.4918,0.0,0.3454,0.0,0.0349,0.0,0.0032,0.0,0.0,0.0,0.0002,0.0001
ASP.NET,0.3919,0.3919,0.0,0.0,0.0,0.0,0.9726,0.5884,0.0968,0.0,0.2623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356,0.0,0.0,0.0167,0.0117,0.0,0.0002,0.0007,0.0012,0.0,0.0,0.176,0.0,0.0,0.0,0.4218,0.0008,0.0,0.0,0.1075,0.0215,0.0,0.0,0.2111,0.099,0.0082,0.1241,0.0,0.0,0.9644,0.0,0.0,0.0009,0.5977,0.0053,0.0001,0.0755,0.8801,0.0,0.0,0.0017,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3454,0.0,0.0206,0.0008,0.0,0.0,0.0,0.0,0.0,0.3517,0.3564
